"ID","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Subscription.Start.Date","Subscription.Expiration","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","ExchangeRateToUSD","AmountInUSD","US_Canada","Other","Europe","Web.Purchase","App.Purchase","valueCust","OpenSendRatio","IsConsumer","IsOther","IsPOR","IsEBR","IsESP","IsKOR","IsENG","IsDEU","IsFRA","IsGLE","IsALL","IsSVE","IsITA","IsJPN","IsRUS","IsESC","IsFAR","IsGRK","IsARA","IsPOL","IsCHI","IsTUR","IsNED","IsVIE","IsHEB","IsTGL","IsHIN","IsDAR","IsLAT","IsKIS","IsURD","IsIND","IsPAS"
180,"ESP",0,0,"Web",35.97,"USD","7/11/2019","7/14/2020",0,1,1,"US/Canada","Consumer","Web",1,1,8,5,0,1,0,1,35.97,1,0,0,1,0,1,0.625,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"NED",0,0,"Web",35.97,"USD","1/16/2020","4/19/2020",0,0,0,"US/Canada","Consumer","Web",1,1,28,24,17,7,3,1,35.97,1,0,0,1,0,0,0.857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,"ENG",0,0,"Web",108,"EUR","3/23/2020","9/23/2020",0,0,1,"Europe","Consumer","Web",1,1,9,9,0,4,0,1.12,120.96,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"ESP",0,0,"Web",120,"EUR","8/29/2019","8/29/2021",1,0,0,"Europe","Consumer","Web",0,1,60,60,60,1,1,1.12,134.4,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,"ALL",0,0,"Web",99,"USD","3/15/2020","3/15/2021",0,1,1,"US/Canada","Consumer","Web",0,1,2,2,0,1,0,1,99,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,"DEU",0,0,"Web",119,"USD","10/21/2018","4/21/2020",0,0,1,"US/Canada","Consumer","Web",1,1,2,1,0,1,0,1,119,1,0,0,1,0,1,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"ENG",0,0,"Web",0,"USD","6/5/2019","12/5/2019",1,0,0,"US/Canada","Consumer","Web",1,1,215,141,0,129,0,1,0,1,0,0,1,0,0,0.655813953488372,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,"ESP",0,0,"Web",38.81,"USD","8/16/2019","11/16/2019",1,0,0,"US/Canada","Consumer","App",1,1,150,1,0,1,0,1,38.81,1,0,0,1,0,0,0.00666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"DEU",0,0,"Web",83.19,"EUR","1/12/2020","7/12/2020",0,0,1,"Other","Other","Unknown",0,0,3,2,0,1,0,1.12,93.1728,0,1,0,1,0,1,0.666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,"GRK",0,0,"Web",0,"USD","4/6/2019","10/6/2019",1,0,0,"US/Canada","Consumer","App",0,1,5,5,0,3,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
